"","date","rain_daytime","rain_24h","rain_48h","rain_cumul"
"1",2019-05-19,0,NA,NA,NA
"2",2019-05-20,1,0,NA,1
"3",2019-05-21,2.5,5,5,7.5
"4",2019-05-22,13,22.5,27.5,35.5
"5",2019-05-23,2,17,39.5,19
"6",2019-05-24,0,6.5,23.5,6.5
"7",2019-05-25,5.5,30,36.5,35.5
"8",2019-05-26,0.5,6.5,36.5,7
"9",2019-05-27,1.5,9,15.5,10.5
"10",2019-05-28,0,2.5,11.5,2.5
"11",2019-05-29,1.5,0,2.5,1.5
"12",2019-05-30,14,2,2,16
"13",2019-05-31,0,18.5,20.5,18.5
"14",2019-06-01,0,5.5,24,5.5
"15",2019-06-02,0,29.5,35,29.5
"16",2019-06-03,1,0,29.5,1
"17",2019-06-04,12,7.5,7.5,19.5
"18",2019-06-05,6,14,21.5,20
"19",2019-06-06,0,36.5,50.5,36.5
"20",2019-06-07,7,0.5,37,7.5
"21",2019-06-08,1,8,8.5,9
"22",2019-06-09,5.5,6.5,14.5,12
"23",2019-06-10,0.5,17.5,24,18
"24",2019-06-11,0,38.5,56,38.5
"25",2019-06-12,0,0.5,39,0.5
"26",2019-06-13,12,0.5,1,12.5
"27",2019-06-14,45,16,16.5,61
"28",2019-06-15,3.5,54,70,57.5
"29",2019-06-16,0.5,13.5,67.5,14
"30",2019-06-17,6.5,0.5,14,7
"31",2019-06-18,4.5,13.5,14,18
"32",2019-06-19,1.5,9.5,23,11
"33",2019-06-20,1,19,28.5,20
"34",2019-06-21,2,1.5,20.5,3.5
"35",2019-06-22,1.5,11,12.5,12.5
"36",2019-06-23,0,2,13,2
"37",2019-06-24,0,0,2,0
